edad,educ,wage
27,5,2392.7017310155675
65,0,3012.500083209164
69,6,2616.639781553908
30,1,2934.3372261160885
71,7,3267.5190500868557
34,8,1991.8554848670904
54,10,2633.4604551689004
54,9,2811.2352234571704
76,1,2460.362380870047
47,0,2781.7505599764754
21,9,3367.836725549968
36,13,2483.881305372378
43,8,1573.2141978393688
46,6,2733.0175870901294
65,9,3442.2920176181
41,4,2304.300259147004
48,2,2266.056362336247
66,6,2513.3543589768647
20,4,1864.4017730121832
72,8,1711.7282268515628
34,14,3111.0059490470685
60,3,1357.342345792279
64,8,890.8254525219484
43,12,2413.1062980133242
38,3,3304.2332272591257
28,3,2897.69239918191
42,0,2779.714753565044
68,11,2746.4705153324785
39,3,1561.9382697787842
21,14,2029.4978315257522
35,8,1800.765849383237
41,12,2028.646185283667
31,10,2492.3664777067675
77,1,2519.2709744787653
28,12,3123.0237400047545
29,7,2080.7919572226506
36,6,3400.5984122414566
58,4,2844.8667066016424
21,9,2189.0932638957765
76,2,1220.418829598868
25,1,1436.80781110989
70,13,2891.3476537065585
46,13,2741.853399401538
55,0,1776.0348548261277
74,12,2657.7835705466173
45,11,2791.1737583364543
58,9,2702.583680617762
47,4,1840.4236186755616
52,14,2239.536435042222
73,7,2545.090505199888
62,5,2264.800986816522
72,7,1748.3961030398468
63,11,2945.462284056961
78,1,2159.4749199185508
57,10,2864.038802209546
60,12,2785.272961548911
75,2,2720.159835057951
18,14,2390.4231376927305
37,4,2454.5045372065733
65,9,1915.8871474972525
42,9,3206.4028957507653
39,12,1792.8085579192702
75,14,2764.6142408480937
31,8,2901.89080548219
23,8,2775.5614649524005
54,12,3044.9687714787506
19,8,3325.411471566322
28,0,2012.968552861535
40,4,3058.822778187479
34,1,2522.618623538294
51,10,3288.915028993997
71,1,2119.6516936802996
72,2,2384.5924272012935
30,14,1326.4987039191312
76,4,2613.939423882524
68,5,2814.5176464539345
26,2,2644.4379279705413
74,12,1532.1252593385848
61,10,2141.92356009875
39,13,2594.151995878185
62,1,2675.5438792149016
70,6,2376.390053385241
41,10,2984.299230315384
32,0,1979.586248862199
32,13,2681.8947669697204
53,13,2338.095587299517
20,8,1970.9013217054726
33,6,1753.6902161535836
24,7,1303.7707108752443
22,13,1881.1428704923396
53,11,2026.658685167032
77,14,2016.8036944187356
36,5,3546.2107428170852
32,4,3049.9935927233096
61,4,3191.4212467067773
25,13,1908.1256949252909
47,4,2708.821631282018
75,11,1265.0106428708802
50,9,1516.9268963859072
57,2,2340.7195941716286
39,6,2061.3083465671784
43,13,1977.0963282303144
45,10,2871.529641404761
68,0,2981.870715505708
38,14,1440.2999709045725
46,2,2285.0429612674607
25,14,2822.8917527114063
73,7,3004.5563509995873
71,14,2030.4008835201453
23,13,2117.3570816541524
63,10,2826.5510113219498
32,1,3000.8481760044233
21,7,3067.2535701877277
59,11,3937.944695045171
68,11,2530.547500308842
58,13,3218.4354302598613
48,11,1412.486791781068
50,4,2477.7459969686074
79,2,1249.9418279580257
77,12,2482.718186783222
76,3,2618.9884776060444
52,12,2886.4096494500213
68,6,2475.981653918837
60,9,1941.2433826529802
73,10,1865.1837727233176
36,14,2523.638594184453
35,1,3065.357085883818
78,3,2370.1676973407484
45,10,2675.219291474927
69,2,1821.5942536733514
61,5,2493.995914661797
40,0,1934.7741829491147
38,5,2461.6657499684834
43,2,2182.068272730811
50,12,3406.4606010893312
22,7,2117.594189959347
37,0,2077.4753198652006
18,12,3806.227945118855
62,12,2578.078475232623
42,11,2727.840487500309
39,2,2617.300404145112
37,10,2248.8517886517902
44,1,2030.9299460478965
25,12,3372.168816925947
72,1,1300.4306846044794
74,14,2012.8836024904874
71,13,2158.926709595699
34,0,2381.622377846954
47,10,3189.369339013532
68,12,2833.026637104911
55,8,2610.1352201074383
30,13,2348.6325443073138
61,5,3050.1317597317156
71,9,2027.4222873748533
45,5,2641.774599879146
72,0,1993.930262782536
55,4,2726.6993604004883
73,4,2050.1912529594283
21,8,3128.348906647462
18,14,2938.9827761038614
55,3,2238.440529281249
77,10,2646.206997086099
50,9,3826.8248187991694
52,0,1778.8556876507778
33,4,2629.0899009158725
61,3,3082.0014789671486
66,3,991.3129106994209
23,2,2799.740333695627
28,7,2729.908507189424
62,9,2263.240032284746
23,5,2323.2744106865775
18,5,2852.0836420510623
59,12,2481.8936663170284
18,4,2752.2610388707285
67,1,1283.919932048787
55,0,1756.6409758384889
46,3,3130.0452588018848
67,12,1882.0476646027869
61,13,1615.6046815467828
59,6,2308.5685493729334
29,14,2576.4950772141733
61,11,2202.059549681925
32,10,2354.4221664744346
52,14,4129.839551056392
43,6,2119.6585629296524
32,9,3002.0770186243794
28,6,1856.0408948469392
38,10,1686.730978543493
70,8,1650.9227195133597
25,12,2056.0878964388994
75,3,1683.9648458193872
22,4,2197.0991784802563
51,1,1851.8628480287805
20,11,3523.793976928813
27,14,2301.985414828519
57,2,3065.4943508091
64,1,2559.6218261769604
44,13,2591.0164266262086
46,7,1736.9063220243615
51,1,2171.707402615864
43,0,2653.332530093021
75,12,2358.214226958997
64,13,2572.7915903805506
78,6,2445.4756552408066
79,13,3323.0386814362428
23,6,2717.775280955968
23,7,2232.3931174511913
50,7,2496.280449862567
55,14,2469.3036814765237
18,0,2557.3678409401878
30,1,2748.710769828179
62,5,2976.2314151519813
43,14,2361.2926639961993
23,5,2201.3884024233516
58,11,2322.7026449804384
45,8,2490.4813278699057
52,4,2156.500651006499
33,12,2618.5703905175615
45,2,2606.6221236144083
46,9,1880.525779071587
76,14,1942.2956720945404
34,11,2386.781810955278
30,1,1621.8467838292431
39,7,2527.797228187911
30,4,2669.8405836422135
46,12,1667.1950050419105
77,8,2737.2071907881864
66,7,1924.5115959039158
18,8,2143.99895609461
51,9,2484.803810595711
76,8,2961.431692515469
20,3,3053.53785502994
52,7,2202.9946088189286
30,4,2294.968861347086
51,11,1750.6981202285897
37,8,2528.6399382952923
47,2,1655.7308180326647
61,10,2606.0687822895657
57,11,3584.1766539298187
24,6,3204.4070941369337
37,14,2464.2890981919954
59,8,2264.264387108499
48,14,2556.2107661341656
30,14,2908.105043559893
41,11,1989.0538232936049
72,12,2131.5025665171497
51,7,2663.075373866693
63,5,2424.6857854806003
31,8,2079.017139143235
55,7,3078.8432340834297
57,10,2357.807500962777
23,3,2169.1520511516223
19,9,3124.0984624897033
22,7,1538.5963976498842
49,13,1944.5519913617522
45,6,2140.5808931081624
20,4,2418.147032410185
74,4,3281.400924251835
62,10,1820.0043409510795
75,14,1984.2063281583526
63,14,2546.1588718330127
37,0,3332.941703306952
67,8,3441.6042626671497
62,6,2984.1236968358116
56,10,1490.9456533117736
59,1,2398.887551571274
34,4,2023.0817600488033
72,14,3542.9441903802203
41,0,2881.711670693222
39,11,2773.209923230299
78,6,2453.0361475353807
37,13,2160.9708825964844
37,12,3773.845329364931
73,5,1462.369529341338
33,6,2702.047299551075
59,12,1822.554327961086
75,6,1765.1583785785242
63,8,2678.1039933246184
34,10,2663.5439487005274
46,13,3808.8605086925513
66,14,2485.933612666196
28,4,1739.904663345002
30,5,2895.5518218331263
57,12,3833.372263797717
48,12,2099.0964357455914
32,13,2483.579668457205
55,3,2331.645854617512
36,8,3120.628448892578
57,13,1908.2224166765916
33,13,1828.6565082050324
41,11,1617.4154363085713
53,6,2207.3249512083657
57,13,2425.348781197535
50,9,2209.106093868808
32,3,2541.0101943859836
46,4,1343.1251982627748
64,1,1461.719954013857
54,11,1457.7672245637623
38,13,2329.1787228039184
46,7,2528.482558746858
41,9,3009.284023133403
46,10,2607.1906402267045
22,4,1539.1782962938987
28,2,2449.410677206607
74,1,1888.3070440261058
72,6,2754.8784813900384
51,0,3107.3659426568374
73,9,2432.1046895292507
41,5,2167.3871787808616
70,13,2207.0158109395884
36,1,1732.7653780261412
46,3,2773.0777996088354
68,3,2434.8419093927655
40,5,2268.9509289351163
47,12,1797.6071790019505
32,2,2648.247975977055
35,6,3263.6494006493863
45,14,3020.552235652206
70,14,2212.6555444740716
41,9,2726.3315153977546
67,6,2190.617067869251
29,3,2112.335481938304
62,7,2576.0565091686954
22,4,2114.3990816185024
29,10,2983.377085753529
33,0,3193.67307277618
45,5,2773.679305224374
24,11,3493.9946049299315
62,7,1291.8257775896057
19,9,2038.1619519966996
49,2,2858.005610537647
25,4,2997.1336314955524
19,2,3047.346352109648
52,11,1924.5686542699245
42,7,2035.106814922342
63,0,1716.8520426782934
23,7,3617.175168606269
20,4,3032.4070707621786
47,11,2319.841964406889
76,7,2730.84513720486
40,13,2983.133518811875
66,14,1529.9189752585696
63,7,2398.979531617773
62,4,2285.99534221904
54,6,2379.8020370284125
20,7,2167.8016682508187
40,7,3929.063727857926
37,12,2486.5400675906308
46,11,1706.4093284255055
30,9,2735.0848306746607
69,14,2081.7297573429364
68,8,2416.5568577296694
37,12,3315.690313428176
43,11,2467.4444203224984
66,0,1779.0289555643196
28,11,2255.4830269939634
23,3,1765.0529872229354
37,5,2622.8880506291007
64,4,1919.1499772886755
75,3,2119.5065609749877
66,10,2663.369560500097
44,4,3064.9964634299854
52,2,2687.901399921529
46,11,2392.1908282143436
50,2,2881.072315960317
70,3,2373.1403844246693
76,13,1877.6365311610593
60,14,2279.129985848689
58,5,3005.0972250541586
54,1,2500.59111444376
29,9,2489.733657770504
60,12,2900.9657903853436
79,12,3479.925871402188
78,7,2320.380907486713
56,7,2414.6516090138234
43,3,1912.163329889582
50,9,2946.2227963461896
74,12,2640.3202781104296
67,12,1964.3854691422912
72,0,2277.283459079558
35,10,2274.9775145408357
22,2,2203.969901298102
43,3,904.5624585554276
68,0,2661.4405529479586
41,11,2992.682660519747
22,14,3624.8281107032103
72,8,2929.135154211656
26,7,2219.195776010254
25,13,2087.2068624141866
29,8,1693.0780740213686
68,13,2878.2987711372457
32,2,2499.5697164846574
78,8,2788.0612779197786
73,0,2283.5494180980218
61,8,2070.677069109383
54,12,2216.694298352287
46,13,2202.8011739274993
55,8,2954.9233078874863
75,13,2677.3068005919954
25,3,2218.0330486159437
79,0,3181.288210571228
48,7,2570.1070124841945
70,1,2935.985503543617
35,12,361.4398973309562
22,13,3071.946883732894
22,7,1834.0464444266545
48,3,2240.9270218428273
29,13,2109.550660368357
54,10,4150.576768067163
33,5,2613.7608956249705
49,6,2807.0958870216464
24,12,2600.3087874917874
79,7,2634.8999182792427
77,7,3016.4729953214187
52,2,2620.8796119170556
49,9,1617.4358192860009
59,11,2225.846881265194
57,2,2893.0088853559946
18,9,2557.028352194925
62,7,1594.879622034262
29,8,2356.0614360594777
29,2,2241.1768908971217
47,10,3558.737860308288
58,13,1985.4022432861948
29,3,2587.5494086207145
73,5,1830.0353210225371
36,5,2003.5137429788383
79,9,2261.644183611519
48,7,2061.4847275897355
46,14,2591.977526920981
49,10,1812.3840215473274
74,5,2813.653635258299
57,3,2403.63738432769
62,9,2834.2229264557013
64,5,2862.4621808120055
48,11,2194.037922076158
68,5,3362.79935311349
31,14,2571.8457660061845
75,6,1973.3086765935604
51,1,1690.4499072243643
77,6,3763.7975198769554
50,12,1862.6304461064242
35,10,2690.827699676033
55,4,2315.5570358977816
40,4,2751.5407271711047
29,14,2761.597875626015
78,0,2725.0543856142817
68,1,1776.1331178822156
21,11,2507.1014669780097
27,3,2524.829594632913
37,6,2142.2863986905895
75,14,2364.976313863538
67,6,2086.0291628875502
32,8,2875.4574077492503
78,6,3501.285305389534
38,6,2151.217602988509
27,0,3304.368212102271
48,13,3011.7333875980994
34,8,3140.5845046873214
25,14,2143.34218329989
56,2,3662.451321432507
38,3,2800.3121964013567
50,4,2598.7511481958018
50,12,2567.5309779565396
57,14,3306.349913623034
39,11,2125.096564570137
52,1,1452.2992051067945
53,11,2061.8794877706755
55,9,2985.523399711143
44,2,3700.939156009049
58,3,2526.8053188122894
60,7,2405.8591159484167
74,10,2763.8088267546277
73,11,1925.4256731200949
44,5,3361.304613244286
49,0,1849.4750401415658
67,13,1304.8880146582844
57,3,2598.8144429099625
33,12,2508.1578828156735
65,12,3019.756113321855
57,0,2094.730470484317
41,2,2281.077297091349
31,7,2961.566720093845
59,7,2245.096342880544
62,3,3946.137932863596
38,1,2196.7024664918567
79,8,1941.3102913821726
47,3,2970.9153677317927
35,12,3122.748014048757
66,12,2008.1396472993506
20,13,2864.591618009802
29,11,2734.5792692001046
60,3,1855.378536060792
34,12,2321.2819249095287
54,1,2388.642671937759
38,0,2274.319353035448
60,7,1745.1901029212804
31,0,2122.551461879159
67,9,1513.129031450439
27,5,2612.3607943194584
22,9,3939.58257576384
66,1,2101.845904128715
50,12,2231.5670321678017
48,3,2601.0539917726746
63,11,3003.0240601603464
68,2,3282.1420500869194
63,8,2447.7520775275634
36,9,1892.4300074381647
58,3,2681.7150238620056
25,10,2814.8591992919214
77,5,3122.433517322857
34,0,1751.030419835233
36,3,2756.2547741108665
46,8,1987.1566530376288
66,4,2904.6137807218283
25,13,3438.7594444608594
63,4,2937.8912752289966
39,13,2286.0946694169984
32,2,1650.8823058443218
77,11,2312.563480182244
58,14,1972.1034433767538
48,14,2026.8562649555572
65,5,2563.375296075814
34,7,2361.355924482462
34,1,2170.72972454514
52,10,2325.3286828723994
31,12,3237.512365799724
69,9,2391.652034528585
18,0,2516.0395091888763
73,3,3108.627206918497
28,9,2323.104253572603
74,3,1927.98633537356
35,8,1956.6971841118107
70,12,1821.4015090429075
58,1,1519.1576194316049
54,6,2632.2125546359634
48,13,1834.8825868221552
37,2,1440.6845488741874
46,2,2445.0482196846715
56,3,2573.6697594596903
47,5,2962.1132950891047
57,5,1460.059751811114
71,0,2449.6212370854614
26,11,2656.171941426117
30,4,3040.2852070625486
76,14,2595.709338285124
50,0,2352.0718729065647
58,0,2355.7377666495468
60,1,3030.067834810169
23,3,2113.298055473472
57,6,2886.741817481757
54,6,1876.6633279714304
35,4,2870.772844450961
64,0,2265.8861492328724
29,1,2791.028565234308
35,13,1687.4877317843534
18,14,2294.515614817739
69,0,1350.5152446137888
39,1,2607.5493476423508
73,4,2948.1292072666542
56,11,2495.6190065771702
18,11,3023.4975108299623
42,2,2189.475403007726
52,3,2763.0198633805694
39,6,3640.304607641564
25,13,2562.1535604237743
29,5,2185.749127490366
69,10,2908.1860004339783
56,10,3680.790869313533
68,8,1499.637853297147
71,4,2070.416724855088
46,0,1795.5152842411276
36,13,3056.089397865542
46,8,2662.244834949912
75,8,1707.5971525472337
27,9,1969.4836054766108
19,11,2312.3075763116735
57,6,2500.4212208483045
50,1,1703.1108018307084
56,2,1611.2503277527132
62,1,3013.5565207030922
43,12,1751.4122561449594
22,9,2580.6985425379544
73,4,2664.3626082267306
38,6,1388.611661106998
20,13,2623.352488665013
51,3,2520.834559613873
43,10,3078.855267879496
45,14,2917.241073116164
60,1,2845.7820894055762
55,1,2229.1530975524056
33,12,2171.2234789602994
21,4,1931.9515613873004
28,12,2599.8347851693547
65,12,1142.797104655993
77,14,3362.4688577945226
45,12,1934.4426109039414
72,5,1894.282154844054
26,3,2901.82143411031
76,1,2704.2536438004854
76,11,2397.26594740019
55,4,2391.1907498792675
26,3,1716.2522342362054
39,2,2283.51202115335
59,1,2332.6579348187493
36,6,2026.0976406707855
77,3,3367.618942941997
57,7,3318.318732143849
30,0,2643.9943266367422
48,12,1513.2641757981262
43,11,1733.126467753405
68,8,2421.6899502306874
29,11,3313.3478144152473
74,9,2522.4085184049923
69,4,2298.6523621291335
48,10,3793.7883113438834
50,3,2544.8107361556868
26,0,3087.370630937289
54,0,2449.431761083498
77,11,2345.5716505157034
29,5,1993.9063583993445
52,12,2997.939838940168
71,4,2967.709277474158
55,2,3129.612562510776
67,6,3370.7854839127485
24,0,2996.9012339717447
78,0,3204.478235940307
60,12,2272.985473467794
42,13,2221.250020598152
46,11,1262.3853932672387
18,0,3254.3935603999766
70,2,1729.848995345354
21,4,2767.0286262149107
34,0,2496.383942389828
78,9,3210.2101683365026
23,2,2784.597122538622
18,11,2721.0996505749467
18,1,2584.1470795738
42,6,2332.4302718066433
69,3,3312.729366492482
24,11,2102.9793065459394
59,8,1990.2816312862185
65,1,3653.9053033055843
45,6,3103.7694153390175
32,12,2710.454494618524
30,1,2592.5279477517647
31,4,3140.248830345031
64,7,2515.6486900087953
24,3,2299.1101547941103
40,2,2758.162540113818
73,6,2741.3834045038893
42,3,1315.7980500960061
21,4,2146.6815649152745
19,6,2179.6032634344847
19,2,2737.113056616902
60,12,2328.0497513344153
72,6,1663.5189357326549
30,1,1809.1462970585626
72,9,1997.3299464648944
55,4,2292.4286188455053
60,2,2445.062323752156
29,7,3436.8714638463416
21,11,2419.307933518323
37,13,2248.2946597225214
21,2,1916.7565563542585
50,10,2709.006783794627
42,9,2177.0842905162003
56,14,1870.018516422041
69,7,1808.8712604107523
70,14,2485.8765537339996
45,4,2633.2652430746516
50,4,1951.0483843012787
53,9,3357.771275650751
79,6,2457.140570315179
35,5,3365.76744203584
64,0,2476.049802247322
56,4,2362.06338969693
68,14,2012.2802353263635
49,14,1761.9902312162899
25,13,2164.4520930152025
47,9,2569.1465640063952
27,12,2479.252090430473
42,6,2361.138892962544
76,13,2585.568844466723
49,2,2891.0442130850474
50,0,1685.9360912218374
71,7,965.8736039347393
58,1,531.4681210784127
39,9,3044.9141584928375
49,14,2619.944175936521
72,14,3946.8208242030432
51,12,2432.777599050894
31,8,1661.8720491709466
18,3,2677.9588668557
47,5,1484.814418940441
79,0,2800.273920953003
21,1,2175.84865367968
21,9,1856.8504551105566
42,13,3156.602820525
38,0,2747.637173074874
45,2,2210.182668035784
28,12,3539.161632245837
28,13,2122.6293398362495
59,13,1408.8924554450134
26,8,2468.4899897609916
36,5,1930.2047235384357
26,2,2270.9620702021693
58,5,2684.2021445848295
64,1,1363.2482669411684
44,6,2162.0770857249763
21,3,1982.5979760804632
18,2,3508.6526879555777
77,11,3017.3433209331533
77,3,1934.9134393060428
32,10,2572.3377012941796
55,14,4083.968799343962
50,0,3054.4207921730576
31,6,2238.040878532474
55,13,2989.91113645596
77,11,2772.2287596702413
38,3,2607.9004693737825
28,2,1712.739997997268
57,7,3355.326935838539
34,3,1844.4648543824933
65,4,1542.9921265000735
47,1,2423.532644395565
69,0,1624.4765347246375
47,3,2010.1351104730732
61,7,2622.1395133942106
20,5,3065.9875703496377
46,4,1959.725071393023
66,12,3784.6201785124667
60,4,2234.512702242113
21,11,2337.3394959072366
63,8,2636.978305496896
23,10,2184.4702114023958
63,7,2902.709800425228
27,3,2581.0901561409987
30,4,3061.475399192608
37,3,2769.9074190986917
75,14,3214.018589204371
22,5,2102.737901964746
66,6,2332.091158975946
47,7,3312.792732039428
38,3,3232.427167106345
22,2,3524.1831503225353
58,6,2909.4505044775296
29,3,2194.8174190909094
77,14,1429.12443140072
37,2,1181.812591552838
24,10,3240.1708180226583
29,10,2460.040190255182
55,13,2416.3639162798295
48,9,2154.2015620180814
24,7,1446.9169657033754
60,11,3416.9845482809083
34,11,1351.889106186014
77,9,2527.807374736132
53,5,1947.5833189987695
29,5,1459.7202641613585
21,11,3164.512132199627
55,0,2286.8750878694696
28,10,1638.2965453246597
30,2,2854.743628719743
63,0,1556.3865972899453
18,11,2338.136680259337
71,4,2545.12903095826
73,4,1913.015448793929
75,13,2236.7956964683235
51,9,3449.1896667751507
56,7,2154.055109363624
71,2,1726.2595141290763
18,11,2510.1403669354604
75,11,2736.8461180742156
79,11,1694.5071841353306
43,12,3838.266415047736
53,4,3790.9883562045343
33,8,2491.6373879480207
18,5,2783.909969575454
25,8,2641.326437880408
36,9,3064.7425934162648
65,3,1785.7029939324905
56,10,2080.0293942469148
60,8,1811.144477370714
21,8,2017.9156541508537
25,13,3282.7538757150996
23,12,2600.781671699381
70,12,3168.6438811954235
67,10,2515.9806538017287
43,13,2609.5854202252685
29,11,2826.537562104407
57,4,3145.1011888437965
62,9,3067.29584752282
77,5,3394.702509694946
54,14,2965.8988441087704
72,3,2505.268592096374
27,8,1445.4435238049305
60,7,2193.7393685193406
20,4,3188.40848322446
19,0,2275.3282214300575
48,2,2731.886590647098
20,8,1589.015461088556
75,1,2609.063237891814
21,3,2713.643531088672
65,2,2510.789183898916
24,12,1581.4124403590586
64,8,1926.3737054640642
50,12,2161.1756778090203
46,7,2202.9976177645854
29,8,1579.0008264659334
69,0,2281.5554040693473
39,13,2151.279528111581
77,8,1087.5822554380588
30,9,2610.096112812889
32,9,2355.3263963977442
75,10,1470.39544737869
21,3,2937.9372582183214
64,2,2958.376952253479
52,13,1856.177906057514
58,9,2117.949568762051
45,1,2492.366518074553
37,4,3738.314665188016
72,12,2870.8299467573456
32,6,1982.9196412951228
61,8,2816.2195619342633
70,0,2255.7628672046035
33,11,1359.172409679092
28,13,2927.5039570329363
31,5,2752.0034337000834
48,13,3227.05142525335
41,12,3429.8836718669268
34,1,2449.0457302471327
27,13,1655.6461799328722
75,3,2685.7626745421653
41,13,1975.2587214840116
29,9,2407.124150841298
49,3,1504.5379890508377
76,0,1327.5825423523668
24,13,2614.912653875286
77,6,2298.805427748334
40,5,3111.6330417370277
69,10,2296.962600871506
72,7,2193.032108904978
72,2,2491.3563410683864
25,13,2009.9848506435924
50,13,2461.7604820803203
30,12,2591.0387397705667
69,0,2584.1313566589165
55,9,2656.521140189153
18,11,2054.823959872025
78,1,2506.364766395947
44,7,1678.8312182624327
35,4,2297.868451258372
78,7,2635.13671138735
31,7,2280.3480304662567
57,14,2476.3110608472057
22,3,2109.4218227464817
79,12,2895.6610269452162
33,0,2719.6268665227117
43,2,2086.2751983152502
24,3,1694.8513200782068
24,10,1500.5084124706812
44,7,2637.697153551116
19,4,2869.101955145705
72,0,2777.2513874955216
25,5,3995.2651923423055
20,3,2251.96370678328
21,13,2407.168704885572
52,2,2113.519335589168
50,12,1992.1732607765439
